Provincias;Periodo;Total
12 Castellón/Castelló;2016;25
12 Castellón/Castelló;2015;20
12 Castellón/Castelló;2014;9
12 Castellón/Castelló;2013;13
12 Castellón/Castelló;2012;13
12 Castellón/Castelló;2011;18
12 Castellón/Castelló;2010;16
12 Castellón/Castelló;2009;10
12 Castellón/Castelló;2008;12
12 Castellón/Castelló;2007;16
12 Castellón/Castelló;2006;8
12 Castellón/Castelló;2005;3
13 Ciudad Real;2020;9
13 Ciudad Real;2019;15
13 Ciudad Real;2018;13
13 Ciudad Real;2017;10
13 Ciudad Real;2016;12
13 Ciudad Real;2015;10
13 Ciudad Real;2014;6
13 Ciudad Real;2013;5
13 Ciudad Real;2012;5
13 Ciudad Real;2011;3
13 Ciudad Real;2010;3
13 Ciudad Real;2009;6
13 Ciudad Real;2008;8
13 Ciudad Real;2007;2
13 Ciudad Real;2006;4
13 Ciudad Real;2005;""
14 Córdoba;2020;14
14 Córdoba;2019;32
14 Córdoba;2018;30
14 Córdoba;2017;24
14 Córdoba;2016;29
14 Córdoba;2015;25
14 Córdoba;2014;19
14 Córdoba;2013;16
14 Córdoba;2012;14
14 Córdoba;2011;18
14 Córdoba;2010;15
14 Córdoba;2009;6
14 Córdoba;2008;15
14 Córdoba;2007;11
14 Córdoba;2006;13
14 Córdoba;2005;4
15 Coruña, A;2020;22
15 Coruña, A;2019;30
15 Coruña, A;2018;31
15 Coruña, A;2017;31
15 Coruña, A;2016;36
15 Coruña, A;2015;28
15 Coruña, A;2014;29
15 Coruña, A;2013;19
15 Coruña, A;2012;19
15 Coruña, A;2011;17
15 Coruña, A;2010;24
15 Coruña, A;2009;10
15 Coruña, A;2008;7
15 Coruña, A;2007;15
15 Coruña, A;2006;13
15 Coruña, A;2005;11
16 Cuenca;2020;2
16 Cuenca;2019;3
16 Cuenca;2018;4
16 Cuenca;2017;6
16 Cuenca;2016;1
16 Cuenca;2015;2
16 Cuenca;2014;2
16 Cuenca;2013;2
16 Cuenca;2012;4
16 Cuenca;2011;1
16 Cuenca;2010;3
16 Cuenca;2009;""
16 Cuenca;2008;1
16 Cuenca;2007;""
16 Cuenca;2006;1
16 Cuenca;2005;""
20 Gipuzkoa;2020;28
20 Gipuzkoa;2019;42
20 Gipuzkoa;2018;41
20 Gipuzkoa;2017;45
20 Gipuzkoa;2016;36
20 Gipuzkoa;2015;32
20 Gipuzkoa;2014;22
20 Gipuzkoa;2013;19
20 Gipuzkoa;2012;31
20 Gipuzkoa;2011;15
20 Gipuzkoa;2010;18
20 Gipuzkoa;2009;17
20 Gipuzkoa;2008;21
20 Gipuzkoa;2007;15
20 Gipuzkoa;2006;21
20 Gipuzkoa;2005;7
17 Girona;2020;29
17 Girona;2019;48
17 Girona;2018;41
17 Girona;2017;48
17 Girona;2016;40
17 Girona;2015;30
17 Girona;2014;39
17 Girona;2013;21
17 Girona;2012;22
17 Girona;2011;21
17 Girona;2010;20
17 Girona;2009;22
17 Girona;2008;26
17 Girona;2007;17
17 Girona;2006;21
17 Girona;2005;6
18 Granada;2020;30
18 Granada;2019;50
18 Granada;2018;42
18 Granada;2017;45
18 Granada;2016;37
18 Granada;2015;33
18 Granada;2014;27
18 Granada;2013;29
18 Granada;2012;21
18 Granada;2011;23
18 Granada;2010;24
18 Granada;2009;17
18 Granada;2008;28
18 Granada;2007;14
18 Granada;2006;17
18 Granada;2005;3
19 Guadalajara;2020;12
19 Guadalajara;2019;15
19 Guadalajara;2018;10
19 Guadalajara;2017;8
19 Guadalajara;2016;9
19 Guadalajara;2015;10
19 Guadalajara;2014;6
19 Guadalajara;2013;12
19 Guadalajara;2012;4
19 Guadalajara;2011;9
19 Guadalajara;2010;10
19 Guadalajara;2009;7
19 Guadalajara;2008;5
19 Guadalajara;2007;4
19 Guadalajara;2006;10
19 Guadalajara;2005;1
21 Huelva;2020;16
21 Huelva;2019;31
21 Huelva;2018;22
21 Huelva;2017;27
21 Huelva;2016;19
21 Huelva;2015;17
21 Huelva;2014;12
21 Huelva;2013;12
21 Huelva;2012;21
21 Huelva;2011;19
21 Huelva;2010;11
21 Huelva;2009;3
21 Huelva;2008;11
21 Huelva;2007;8
21 Huelva;2006;5
21 Huelva;2005;4
22 Huesca;2020;2
22 Huesca;2019;6
22 Huesca;2018;1
22 Huesca;2017;6
22 Huesca;2016;1
22 Huesca;2015;2
22 Huesca;2014;4
22 Huesca;2013;2
22 Huesca;2012;2
22 Huesca;2011;4
22 Huesca;2010;3
22 Huesca;2009;2
22 Huesca;2008;1
22 Huesca;2007;""
22 Huesca;2006;2
22 Huesca;2005;""
23 Jaén;2020;10
23 Jaén;2019;25
23 Jaén;2018;21
23 Jaén;2017;18
23 Jaén;2016;12
23 Jaén;2015;7
23 Jaén;2014;8
23 Jaén;2013;7
23 Jaén;2012;7
23 Jaén;2011;7
23 Jaén;2010;3
23 Jaén;2009;5
23 Jaén;2008;2
23 Jaén;2007;2
23 Jaén;2006;3
23 Jaén;2005;2
24 León;2020;6
24 León;2019;8
24 León;2018;9
24 León;2017;9
24 León;2016;9
24 León;2015;8
24 León;2014;7
24 León;2013;3
24 León;2012;7
24 León;2011;4
24 León;2010;8
24 León;2009;5
24 León;2008;4
24 León;2007;2
24 León;2006;4
24 León;2005;2
25 Lleida;2020;12
25 Lleida;2019;13
25 Lleida;2018;8
25 Lleida;2017;10
25 Lleida;2016;10
25 Lleida;2015;14
25 Lleida;2014;10
25 Lleida;2013;5
25 Lleida;2012;10
25 Lleida;2011;11
25 Lleida;2010;6
25 Lleida;2009;11
25 Lleida;2008;7
25 Lleida;2007;6
25 Lleida;2006;11
25 Lleida;2005;2
27 Lugo;2020;5
27 Lugo;2019;4
27 Lugo;2018;7
27 Lugo;2017;7
27 Lugo;2016;3
27 Lugo;2015;1
27 Lugo;2014;3
27 Lugo;2013;3
27 Lugo;2012;3
27 Lugo;2011;4
27 Lugo;2010;2
27 Lugo;2009;3
27 Lugo;2008;""
27 Lugo;2007;1
27 Lugo;2006;2
27 Lugo;2005;""
28 Madrid;2020;247
28 Madrid;2019;482
28 Madrid;2018;456
28 Madrid;2017;347
28 Madrid;2016;329
28 Madrid;2015;311
28 Madrid;2014;241
28 Madrid;2013;268
28 Madrid;2012;250
28 Madrid;2011;246
28 Madrid;2010;193
28 Madrid;2009;156
28 Madrid;2008;203
28 Madrid;2007;186
28 Madrid;2006;236
28 Madrid;2005;58
29 Málaga;2020;77
29 Málaga;2019;125
29 Málaga;2018;108
29 Málaga;2017;84
29 Málaga;2016;83
29 Málaga;2015;65
29 Málaga;2014;49
29 Málaga;2013;48
29 Málaga;2012;48
29 Málaga;2011;35
29 Málaga;2010;49
29 Málaga;2009;35
29 Málaga;2008;40
29 Málaga;2007;45
29 Málaga;2006;55
29 Málaga;2005;10
30 Murcia;2020;51
30 Murcia;2019;74
30 Murcia;2018;84
30 Murcia;2017;64
30 Murcia;2016;54
30 Murcia;2015;46
30 Murcia;2014;44
30 Murcia;2013;35
30 Murcia;2012;46
30 Murcia;2011;37
30 Murcia;2010;40
30 Murcia;2009;24
30 Murcia;2008;17
30 Murcia;2007;22
30 Murcia;2006;22
30 Murcia;2005;4
31 Navarra;2020;16
31 Navarra;2019;34
31 Navarra;2018;34
31 Navarra;2017;18
31 Navarra;2016;28
31 Navarra;2015;29
31 Navarra;2014;10
