Provincias;Periodo;Total
12 Castellón/Castelló;2016;10
12 Castellón/Castelló;2015;19
12 Castellón/Castelló;2014;10
12 Castellón/Castelló;2013;7
12 Castellón/Castelló;2012;19
12 Castellón/Castelló;2011;16
12 Castellón/Castelló;2010;13
12 Castellón/Castelló;2009;10
12 Castellón/Castelló;2008;13
12 Castellón/Castelló;2007;13
12 Castellón/Castelló;2006;20
12 Castellón/Castelló;2005;5
13 Ciudad Real;2020;2
13 Ciudad Real;2019;13
13 Ciudad Real;2018;21
13 Ciudad Real;2017;10
13 Ciudad Real;2016;9
13 Ciudad Real;2015;2
13 Ciudad Real;2014;5
13 Ciudad Real;2013;6
13 Ciudad Real;2012;5
13 Ciudad Real;2011;6
13 Ciudad Real;2010;5
13 Ciudad Real;2009;5
13 Ciudad Real;2008;6
13 Ciudad Real;2007;7
13 Ciudad Real;2006;9
13 Ciudad Real;2005;5
14 Córdoba;2020;17
14 Córdoba;2019;28
14 Córdoba;2018;29
14 Córdoba;2017;28
14 Córdoba;2016;24
14 Córdoba;2015;12
14 Córdoba;2014;17
14 Córdoba;2013;9
14 Córdoba;2012;11
14 Córdoba;2011;19
14 Córdoba;2010;14
14 Córdoba;2009;18
14 Córdoba;2008;11
14 Córdoba;2007;18
14 Córdoba;2006;23
14 Córdoba;2005;4
15 Coruña, A;2020;19
15 Coruña, A;2019;45
15 Coruña, A;2018;34
15 Coruña, A;2017;36
15 Coruña, A;2016;28
15 Coruña, A;2015;26
15 Coruña, A;2014;22
15 Coruña, A;2013;22
15 Coruña, A;2012;30
15 Coruña, A;2011;32
15 Coruña, A;2010;21
15 Coruña, A;2009;25
15 Coruña, A;2008;30
15 Coruña, A;2007;25
15 Coruña, A;2006;24
15 Coruña, A;2005;16
16 Cuenca;2020;1
16 Cuenca;2019;3
16 Cuenca;2018;2
16 Cuenca;2017;4
16 Cuenca;2016;""
16 Cuenca;2015;7
16 Cuenca;2014;3
16 Cuenca;2013;2
16 Cuenca;2012;1
16 Cuenca;2011;""
16 Cuenca;2010;3
16 Cuenca;2009;""
16 Cuenca;2008;3
16 Cuenca;2007;1
16 Cuenca;2006;1
16 Cuenca;2005;1
20 Gipuzkoa;2020;6
20 Gipuzkoa;2019;23
20 Gipuzkoa;2018;29
20 Gipuzkoa;2017;30
20 Gipuzkoa;2016;26
20 Gipuzkoa;2015;18
20 Gipuzkoa;2014;17
20 Gipuzkoa;2013;17
20 Gipuzkoa;2012;19
20 Gipuzkoa;2011;25
20 Gipuzkoa;2010;23
20 Gipuzkoa;2009;23
20 Gipuzkoa;2008;9
20 Gipuzkoa;2007;22
20 Gipuzkoa;2006;37
20 Gipuzkoa;2005;19
17 Girona;2020;15
17 Girona;2019;27
17 Girona;2018;21
17 Girona;2017;27
17 Girona;2016;37
17 Girona;2015;30
17 Girona;2014;23
17 Girona;2013;24
17 Girona;2012;31
17 Girona;2011;36
17 Girona;2010;27
17 Girona;2009;33
17 Girona;2008;26
17 Girona;2007;28
17 Girona;2006;42
17 Girona;2005;22
18 Granada;2020;25
18 Granada;2019;57
18 Granada;2018;29
18 Granada;2017;36
18 Granada;2016;41
18 Granada;2015;31
18 Granada;2014;23
18 Granada;2013;18
18 Granada;2012;30
18 Granada;2011;30
18 Granada;2010;16
18 Granada;2009;30
18 Granada;2008;31
18 Granada;2007;24
18 Granada;2006;49
18 Granada;2005;10
19 Guadalajara;2020;4
19 Guadalajara;2019;9
19 Guadalajara;2018;8
19 Guadalajara;2017;6
19 Guadalajara;2016;7
19 Guadalajara;2015;3
19 Guadalajara;2014;7
19 Guadalajara;2013;5
19 Guadalajara;2012;4
19 Guadalajara;2011;10
19 Guadalajara;2010;11
19 Guadalajara;2009;4
19 Guadalajara;2008;7
19 Guadalajara;2007;8
19 Guadalajara;2006;12
19 Guadalajara;2005;1
21 Huelva;2020;13
21 Huelva;2019;12
21 Huelva;2018;10
21 Huelva;2017;14
21 Huelva;2016;21
21 Huelva;2015;17
21 Huelva;2014;12
21 Huelva;2013;11
21 Huelva;2012;12
21 Huelva;2011;8
21 Huelva;2010;11
21 Huelva;2009;7
21 Huelva;2008;13
21 Huelva;2007;5
21 Huelva;2006;9
21 Huelva;2005;6
22 Huesca;2020;2
22 Huesca;2019;3
22 Huesca;2018;1
22 Huesca;2017;2
22 Huesca;2016;2
22 Huesca;2015;4
22 Huesca;2014;2
22 Huesca;2013;1
22 Huesca;2012;1
22 Huesca;2011;3
22 Huesca;2010;6
22 Huesca;2009;1
22 Huesca;2008;6
22 Huesca;2007;1
22 Huesca;2006;6
22 Huesca;2005;1
23 Jaén;2020;17
23 Jaén;2019;21
23 Jaén;2018;20
23 Jaén;2017;16
23 Jaén;2016;15
23 Jaén;2015;9
23 Jaén;2014;10
23 Jaén;2013;8
23 Jaén;2012;7
23 Jaén;2011;9
23 Jaén;2010;9
23 Jaén;2009;5
23 Jaén;2008;10
23 Jaén;2007;6
23 Jaén;2006;11
23 Jaén;2005;5
24 León;2020;7
24 León;2019;7
24 León;2018;8
24 León;2017;7
24 León;2016;12
24 León;2015;12
24 León;2014;8
24 León;2013;2
24 León;2012;6
24 León;2011;8
24 León;2010;4
24 León;2009;7
24 León;2008;4
24 León;2007;11
24 León;2006;9
24 León;2005;1
25 Lleida;2020;11
25 Lleida;2019;15
25 Lleida;2018;9
25 Lleida;2017;6
25 Lleida;2016;13
25 Lleida;2015;10
25 Lleida;2014;7
25 Lleida;2013;5
25 Lleida;2012;8
25 Lleida;2011;4
25 Lleida;2010;15
25 Lleida;2009;9
25 Lleida;2008;13
25 Lleida;2007;5
25 Lleida;2006;16
25 Lleida;2005;6
27 Lugo;2020;3
27 Lugo;2019;1
27 Lugo;2018;6
27 Lugo;2017;7
27 Lugo;2016;4
27 Lugo;2015;5
27 Lugo;2014;2
27 Lugo;2013;3
27 Lugo;2012;6
27 Lugo;2011;1
27 Lugo;2010;2
27 Lugo;2009;1
27 Lugo;2008;2
27 Lugo;2007;4
27 Lugo;2006;4
27 Lugo;2005;""
28 Madrid;2020;324
28 Madrid;2019;540
28 Madrid;2018;500
28 Madrid;2017;487
28 Madrid;2016;453
28 Madrid;2015;415
28 Madrid;2014;352
28 Madrid;2013;366
28 Madrid;2012;424
28 Madrid;2011;483
28 Madrid;2010;440
28 Madrid;2009;397
28 Madrid;2008;469
28 Madrid;2007;454
28 Madrid;2006;662
28 Madrid;2005;200
29 Málaga;2020;80
29 Málaga;2019;112
29 Málaga;2018;119
29 Málaga;2017;99
29 Málaga;2016;108
29 Málaga;2015;82
29 Málaga;2014;66
29 Málaga;2013;68
29 Málaga;2012;82
29 Málaga;2011;91
29 Málaga;2010;103
29 Málaga;2009;102
29 Málaga;2008;123
29 Málaga;2007;120
29 Málaga;2006;165
29 Málaga;2005;23
30 Murcia;2020;37
30 Murcia;2019;64
30 Murcia;2018;61
30 Murcia;2017;57
30 Murcia;2016;56
30 Murcia;2015;39
30 Murcia;2014;51
30 Murcia;2013;31
30 Murcia;2012;44
30 Murcia;2011;34
30 Murcia;2010;45
30 Murcia;2009;38
30 Murcia;2008;42
30 Murcia;2007;46
30 Murcia;2006;41
30 Murcia;2005;11
31 Navarra;2020;14
31 Navarra;2019;26
31 Navarra;2018;16
31 Navarra;2017;17
31 Navarra;2016;12
31 Navarra;2015;21
31 Navarra;2014;11
31 Navarra;2013;16
31 Navarra;2012;13
31 Navarra;2011;11
31 Navarra;2010;18
31 Navarra;2009;16
31 Navarra;2008;14
31 Navarra;2007;15
31 Navarra;2006;23
31 Navarra;2005;11
32 Ourense;2020;4
32 Ourense;2019;8
32 Ourense;2018;5
32 Ourense;2017;8
32 Ourense;2016;3
32 Ourense;2015;6
32 Ourense;2014;2
32 Ourense;2013;4
32 Ourense;2012;3
32 Ourense;2011;1
32 Ourense;2010;3
32 Ourense;2009;2
32 Ourense;2008;4
32 Ourense;2007;3
32 Ourense;2006;2
32 Ourense;2005;""
34 Palencia;2020;4
34 Palencia;2019;2
34 Palencia;2018;6
34 Palencia;2017;1
34 Palencia;2016;""
34 Palencia;2015;1
34 Palencia;2014;3
34 Palencia;2013;""
34 Palencia;2012;3
34 Palencia;2011;1
34 Palencia;2010;3
34 Palencia;2009;4
34 Palencia;2008;""
34 Palencia;2007;1
34 Palencia;2006;5
34 Palencia;2005;4
35 Palmas, Las;2020;74
35 Palmas, Las;2019;115
35 Palmas, Las;2018;77
35 Palmas, Las;2017;91
35 Palmas, Las;2016;86
35 Palmas, Las;2015;70
35 Palmas, Las;2014;63
35 Palmas, Las;2013;63
35 Palmas, Las;2012;68
35 Palmas, Las;2011;58
35 Palmas, Las;2010;58
35 Palmas, Las;2009;67
35 Palmas, Las;2008;59
35 Palmas, Las;2007;91
35 Palmas, Las;2006;98
35 Palmas, Las;2005;22
36 Pontevedra;2020;15
36 Pontevedra;2019;22
36 Pontevedra;2018;16
36 Pontevedra;2017;14
36 Pontevedra;2016;26
36 Pontevedra;2015;10
36 Pontevedra;2014;17
36 Pontevedra;2013;21
36 Pontevedra;2012;13
36 Pontevedra;2011;20
36 Pontevedra;2010;14
36 Pontevedra;2009;13
36 Pontevedra;2008;16
36 Pontevedra;2007;17
36 Pontevedra;2006;18
36 Pontevedra;2005;9
26 Rioja, La;2020;5
26 Rioja, La;2019;9
26 Rioja, La;2018;13
26 Rioja, La;2017;8
26 Rioja, La;2016;8
26 Rioja, La;2015;8
26 Rioja, La;2014;4
26 Rioja, La;2013;4
26 Rioja, La;2012;11
26 Rioja, La;2011;14
26 Rioja, La;2010;4
26 Rioja, La;2009;6
26 Rioja, La;2008;5
26 Rioja, La;2007;6
26 Rioja, La;2006;9
26 Rioja, La;2005;2
37 Salamanca;2020;5
37 Salamanca;2019;12
37 Salamanca;2018;7
37 Salamanca;2017;4
37 Salamanca;2016;6
37 Salamanca;2015;6
37 Salamanca;2014;4
37 Salamanca;2013;7
37 Salamanca;2012;5
37 Salamanca;2011;5
37 Salamanca;2010;3
37 Salamanca;2009;4
37 Salamanca;2008;4
37 Salamanca;2007;10
37 Salamanca;2006;9
37 Salamanca;2005;3
