Provincias;Periodo;Total
01 Araba/Álava;1984;1.406
01 Araba/Álava;1983;1.388
01 Araba/Álava;1982;1.544
01 Araba/Álava;1981;1.557
01 Araba/Álava;1980;1.762
01 Araba/Álava;1979;1.908
01 Araba/Álava;1978;2.076
01 Araba/Álava;1977;2.112
01 Araba/Álava;1976;1.745
01 Araba/Álava;1975;2.061
33 Asturias;2020;1.807
33 Asturias;2019;3.255
33 Asturias;2018;3.425
33 Asturias;2017;3.569
33 Asturias;2016;3.679
33 Asturias;2015;3.483
33 Asturias;2014;3.498
33 Asturias;2013;3.327
33 Asturias;2012;3.968
33 Asturias;2011;3.884
33 Asturias;2010;4.233
33 Asturias;2009;4.485
33 Asturias;2008;4.775
33 Asturias;2007;4.857
33 Asturias;2006;4.810
33 Asturias;2005;4.905
33 Asturias;2004;4.958
33 Asturias;2003;4.999
33 Asturias;2002;4.895
33 Asturias;2001;4.771
33 Asturias;2000;4.934
33 Asturias;1999;4.735
33 Asturias;1998;4.628
33 Asturias;1997;4.548
33 Asturias;1996;4.401
33 Asturias;1995;4.512
33 Asturias;1994;4.643
33 Asturias;1993;4.747
33 Asturias;1992;5.347
33 Asturias;1991;5.433
33 Asturias;1990;5.454
33 Asturias;1989;5.426
33 Asturias;1988;5.541
33 Asturias;1987;5.693
33 Asturias;1986;5.803
33 Asturias;1985;5.910
33 Asturias;1984;6.067
33 Asturias;1983;5.905
33 Asturias;1982;6.125
33 Asturias;1981;5.890
33 Asturias;1980;6.796
33 Asturias;1979;7.344
33 Asturias;1978;7.705
33 Asturias;1977;7.939
33 Asturias;1976;7.877
33 Asturias;1975;8.262
05 Ávila;2020;234
05 Ávila;2019;437
05 Ávila;2018;436
05 Ávila;2017;435
05 Ávila;2016;460
05 Ávila;2015;434
05 Ávila;2014;425
05 Ávila;2013;433
05 Ávila;2012;465
05 Ávila;2011;466
05 Ávila;2010;500
05 Ávila;2009;531
05 Ávila;2008;596
05 Ávila;2007;579
05 Ávila;2006;594
05 Ávila;2005;588
05 Ávila;2004;603
05 Ávila;2003;621
05 Ávila;2002;629
05 Ávila;2001;604
05 Ávila;2000;635
05 Ávila;1999;608
05 Ávila;1998;633
05 Ávila;1997;611
05 Ávila;1996;599
05 Ávila;1995;700
05 Ávila;1994;736
05 Ávila;1993;681
05 Ávila;1992;797
05 Ávila;1991;766
05 Ávila;1990;774
05 Ávila;1989;802
05 Ávila;1988;826
05 Ávila;1987;817
05 Ávila;1986;822
05 Ávila;1985;689
05 Ávila;1984;847
05 Ávila;1983;768
05 Ávila;1982;769
05 Ávila;1981;761
05 Ávila;1980;879
05 Ávila;1979;892
05 Ávila;1978;806
05 Ávila;1977;801
05 Ávila;1976;871
05 Ávila;1975;934
06 Badajoz;2020;996
06 Badajoz;2019;2.166
06 Badajoz;2018;2.156
06 Badajoz;2017;2.304
06 Badajoz;2016;2.311
06 Badajoz;2015;2.271
06 Badajoz;2014;2.160
06 Badajoz;2013;2.044
06 Badajoz;2012;2.452
06 Badajoz;2011;2.368
06 Badajoz;2010;2.682
06 Badajoz;2009;2.832
06 Badajoz;2008;2.917
06 Badajoz;2007;2.892
06 Badajoz;2006;3.083
06 Badajoz;2005;3.050
06 Badajoz;2004;3.158
06 Badajoz;2003;3.193
06 Badajoz;2002;3.148
06 Badajoz;2001;3.304
06 Badajoz;2000;3.442
06 Badajoz;1999;3.206
06 Badajoz;1998;3.194
06 Badajoz;1997;3.128
06 Badajoz;1996;2.966
06 Badajoz;1995;3.278
06 Badajoz;1994;3.161
06 Badajoz;1993;3.373
06 Badajoz;1992;3.712
06 Badajoz;1991;3.775
06 Badajoz;1990;3.779
06 Badajoz;1989;3.900
06 Badajoz;1988;3.871
06 Badajoz;1987;3.929
06 Badajoz;1986;4.099
06 Badajoz;1985;3.815
06 Badajoz;1984;3.788
06 Badajoz;1983;3.849
06 Badajoz;1982;3.840
06 Badajoz;1981;3.874
06 Badajoz;1980;3.943
06 Badajoz;1979;4.044
06 Badajoz;1978;4.079
06 Badajoz;1977;3.830
06 Badajoz;1976;3.885
06 Badajoz;1975;3.687
07 Balears, Illes;2020;2.847
07 Balears, Illes;2019;4.880
07 Balears, Illes;2018;4.615
07 Balears, Illes;2017;4.570
07 Balears, Illes;2016;4.593
07 Balears, Illes;2015;4.496
07 Balears, Illes;2014;4.104
07 Balears, Illes;2013;3.942
07 Balears, Illes;2012;3.925
07 Balears, Illes;2011;3.950
07 Balears, Illes;2010;3.947
07 Balears, Illes;2009;4.151
07 Balears, Illes;2008;4.138
07 Balears, Illes;2007;4.345
07 Balears, Illes;2006;4.260
07 Balears, Illes;2005;4.267
07 Balears, Illes;2004;4.555
07 Balears, Illes;2003;4.651
07 Balears, Illes;2002;4.581
07 Balears, Illes;2001;4.326
07 Balears, Illes;2000;4.499
07 Balears, Illes;1999;4.503
07 Balears, Illes;1998;4.402
07 Balears, Illes;1997;4.116
07 Balears, Illes;1996;4.143
07 Balears, Illes;1995;4.100
07 Balears, Illes;1994;4.215
07 Balears, Illes;1993;4.090
07 Balears, Illes;1992;4.336
07 Balears, Illes;1991;4.413
07 Balears, Illes;1990;4.606
07 Balears, Illes;1989;4.740
07 Balears, Illes;1988;4.557
07 Balears, Illes;1987;4.304
07 Balears, Illes;1986;4.164
07 Balears, Illes;1985;4.014
07 Balears, Illes;1984;4.082
07 Balears, Illes;1983;4.028
07 Balears, Illes;1982;3.748
07 Balears, Illes;1981;3.484
07 Balears, Illes;1980;3.882
07 Balears, Illes;1979;4.366
07 Balears, Illes;1978;4.329
07 Balears, Illes;1977;4.499
07 Balears, Illes;1976;4.718
07 Balears, Illes;1975;4.959
08 Barcelona;2020;10.954
08 Barcelona;2019;19.122
08 Barcelona;2018;20.014
08 Barcelona;2017;21.223
08 Barcelona;2016;21.230
08 Barcelona;2015;19.812
08 Barcelona;2014;19.181
08 Barcelona;2013;18.795
08 Barcelona;2012;19.757
08 Barcelona;2011;19.066
08 Barcelona;2010;20.162
08 Barcelona;2009;20.303
08 Barcelona;2008;22.430
08 Barcelona;2007;22.382
08 Barcelona;2006;22.831
08 Barcelona;2005;24.133
08 Barcelona;2004;25.101
08 Barcelona;2003;24.352
08 Barcelona;2002;24.931
08 Barcelona;2001;24.759
08 Barcelona;2000;25.982
08 Barcelona;1999;24.978
08 Barcelona;1998;25.743
08 Barcelona;1997;24.194
08 Barcelona;1996;24.334
08 Barcelona;1995;24.903
08 Barcelona;1994;24.420
08 Barcelona;1993;24.710
08 Barcelona;1992;26.050
08 Barcelona;1991;26.766
08 Barcelona;1990;26.054
08 Barcelona;1989;26.130
08 Barcelona;1988;25.484
08 Barcelona;1987;24.552
08 Barcelona;1986;23.547
08 Barcelona;1985;23.470
08 Barcelona;1984;21.588
08 Barcelona;1983;19.355
08 Barcelona;1982;20.317
08 Barcelona;1981;20.196
08 Barcelona;1980;22.533
08 Barcelona;1979;27.219
08 Barcelona;1978;30.602
08 Barcelona;1977;33.446
08 Barcelona;1976;35.229
08 Barcelona;1975;36.251
48 Bizkaia;2020;1.881
48 Bizkaia;2019;3.529
48 Bizkaia;2018;3.561
48 Bizkaia;2017;3.790
48 Bizkaia;2016;3.777
48 Bizkaia;2015;3.608
48 Bizkaia;2014;3.599
48 Bizkaia;2013;3.632
48 Bizkaia;2012;4.094
48 Bizkaia;2011;4.204
48 Bizkaia;2010;4.297
48 Bizkaia;2009;4.307
48 Bizkaia;2008;4.731
48 Bizkaia;2007;4.753
48 Bizkaia;2006;4.740
48 Bizkaia;2005;4.979
48 Bizkaia;2004;5.155
48 Bizkaia;2003;5.163
48 Bizkaia;2002;5.152
48 Bizkaia;2001;5.206
48 Bizkaia;2000;5.576
48 Bizkaia;1999;5.220
48 Bizkaia;1998;5.357
48 Bizkaia;1997;5.033
48 Bizkaia;1996;4.909
48 Bizkaia;1995;4.975
48 Bizkaia;1994;5.042
48 Bizkaia;1993;5.176
48 Bizkaia;1992;5.639
48 Bizkaia;1991;5.441
48 Bizkaia;1990;5.368
48 Bizkaia;1989;5.393
48 Bizkaia;1988;5.367
48 Bizkaia;1987;5.494
48 Bizkaia;1986;5.647
48 Bizkaia;1985;5.365
48 Bizkaia;1984;5.788
48 Bizkaia;1983;5.932
48 Bizkaia;1982;6.535
48 Bizkaia;1981;6.358
48 Bizkaia;1980;7.295
48 Bizkaia;1979;7.825
48 Bizkaia;1978;8.613
48 Bizkaia;1977;9.128
48 Bizkaia;1976;8.914
48 Bizkaia;1975;9.659
09 Burgos;2020;514
09 Burgos;2019;1.051
09 Burgos;2018;1.050
09 Burgos;2017;1.129
09 Burgos;2016;1.082
09 Burgos;2015;1.098
09 Burgos;2014;1.043
09 Burgos;2013;1.047
09 Burgos;2012;1.192
09 Burgos;2011;1.137
09 Burgos;2010;1.287
09 Burgos;2009;1.245
09 Burgos;2008;1.365
09 Burgos;2007;1.447
09 Burgos;2006;1.407
09 Burgos;2005;1.430
09 Burgos;2004;1.596
09 Burgos;2003;1.635
09 Burgos;2002;1.540
09 Burgos;2001;1.388
09 Burgos;2000;1.556
09 Burgos;1999;1.402
09 Burgos;1998;1.497
09 Burgos;1997;1.427
09 Burgos;1996;1.443
09 Burgos;1995;1.535
