Provincias,Periodo,Total,Sexo,id_gen
"07 Balears, Illes",2011,3950,Mujer-Hombre,0
"07 Balears, Illes",2010,3947,Mujer-Hombre,0
"07 Balears, Illes",2009,4151,Mujer-Hombre,0
"07 Balears, Illes",2008,4138,Mujer-Hombre,0
"07 Balears, Illes",2007,4345,Mujer-Hombre,0
"07 Balears, Illes",2006,4260,Mujer-Hombre,0
"07 Balears, Illes",2005,4267,Mujer-Hombre,0
08 Barcelona,2020,10954,Mujer-Hombre,0
08 Barcelona,2019,19122,Mujer-Hombre,0
08 Barcelona,2018,20014,Mujer-Hombre,0
08 Barcelona,2017,21223,Mujer-Hombre,0
08 Barcelona,2016,21230,Mujer-Hombre,0
08 Barcelona,2015,19812,Mujer-Hombre,0
08 Barcelona,2014,19181,Mujer-Hombre,0
08 Barcelona,2013,18795,Mujer-Hombre,0
08 Barcelona,2012,19757,Mujer-Hombre,0
08 Barcelona,2011,19066,Mujer-Hombre,0
08 Barcelona,2010,20162,Mujer-Hombre,0
08 Barcelona,2009,20303,Mujer-Hombre,0
08 Barcelona,2008,22430,Mujer-Hombre,0
08 Barcelona,2007,22382,Mujer-Hombre,0
08 Barcelona,2006,22831,Mujer-Hombre,0
08 Barcelona,2005,24133,Mujer-Hombre,0
48 Bizkaia,2020,1881,Mujer-Hombre,0
48 Bizkaia,2019,3529,Mujer-Hombre,0
48 Bizkaia,2018,3561,Mujer-Hombre,0
48 Bizkaia,2017,3790,Mujer-Hombre,0
48 Bizkaia,2016,3777,Mujer-Hombre,0
48 Bizkaia,2015,3608,Mujer-Hombre,0
48 Bizkaia,2014,3599,Mujer-Hombre,0
48 Bizkaia,2013,3632,Mujer-Hombre,0
48 Bizkaia,2012,4094,Mujer-Hombre,0
48 Bizkaia,2011,4204,Mujer-Hombre,0
48 Bizkaia,2010,4297,Mujer-Hombre,0
48 Bizkaia,2009,4307,Mujer-Hombre,0
48 Bizkaia,2008,4731,Mujer-Hombre,0
48 Bizkaia,2007,4753,Mujer-Hombre,0
48 Bizkaia,2006,4740,Mujer-Hombre,0
48 Bizkaia,2005,4979,Mujer-Hombre,0
09 Burgos,2020,514,Mujer-Hombre,0
09 Burgos,2019,1051,Mujer-Hombre,0
09 Burgos,2018,1050,Mujer-Hombre,0
09 Burgos,2017,1129,Mujer-Hombre,0
09 Burgos,2016,1082,Mujer-Hombre,0
09 Burgos,2015,1098,Mujer-Hombre,0
09 Burgos,2014,1043,Mujer-Hombre,0
09 Burgos,2013,1047,Mujer-Hombre,0
09 Burgos,2012,1192,Mujer-Hombre,0
09 Burgos,2011,1137,Mujer-Hombre,0
09 Burgos,2010,1287,Mujer-Hombre,0
09 Burgos,2009,1245,Mujer-Hombre,0
09 Burgos,2008,1365,Mujer-Hombre,0
09 Burgos,2007,1447,Mujer-Hombre,0
09 Burgos,2006,1407,Mujer-Hombre,0
09 Burgos,2005,1430,Mujer-Hombre,0
10 Cáceres,2020,552,Mujer-Hombre,0
10 Cáceres,2019,1112,Mujer-Hombre,0
10 Cáceres,2018,1110,Mujer-Hombre,0
10 Cáceres,2017,1159,Mujer-Hombre,0
10 Cáceres,2016,1274,Mujer-Hombre,0
10 Cáceres,2015,1172,Mujer-Hombre,0
